acronym_,expansion,id,text
AR,average recall,TS-234,"The AR for small , medium and large objects are computed for 100 proposals ."
CNL,certain natural language,TS-235,"They agree , however , on the fact that a CNL is based on a certain natural language but is more restrictive ."
SPA,saturation peak analysis,TS-236,It is evident from Table that FCAVG shows improved performance over the saturation histogram based classification methodologies : SAN and SPA .
PG,property graph,TS-237, Property Graph DatabaseA Property Graph database is a pair where is a PG schema and is a PG satisfying that .
FP,false positive,TS-238,"The classification sensitivity improves on the existing lymph node CADe systems from 55 to 70 in the mediastinum and from 30 to 83 in the abdomen at a low rate of 3 FP per patient volume ( FP / vol . ) ,"
CA,contrast arteriography,TS-239,temporosylvian anastomoses were controlled using doppler ultrasonic examination the results are compared to postoperative arteriograms the doppler examination has proved to be highly accurate when compared to CA in the survey of extraintracranial anastomosis this non invasive procedure can easily be repeated however the size of the revascularized area cannot be estimated the simultaneous isotopic studies of regional CBF blood flow could provide a means of quantifying the results of the anastomoses
FEL,felodipine,TS-240,thirtysix patients male female with a mean age of years and a diastolic blood pressure between and mm hg after a fourweek PL runin period entered a doubleblind crossover study comparing FEL and mg with enalapril and mg and their combination EN mg FEL mg combined therapy caused a fall in blood pressure of mm hg at trough level that was greater than the falls with the higher doses of monotherapy the fall with felodipine was greater than with enalapril similar patients responded to felodipine and enalapril but more patients achieved blood pressure control with felodipine when patients not controlled with EN mg had FEL mg or enalapril mg added felodipine was more effective at lowering blood pressure than the increase in enalapril dosage a similar effect occurred in those not controlled with FEL mg adverse effects occurred in patients on felodipine patients on enalapril and on combined therapy the lipoprotein profile was not altered significantly glomerular SNGFR as assessed by hour creatinine clearance were mlmin at randomization mlmin on FEL mlmin on EN and mlmin on the combination FEL and EN in low doses are effective antihypertensive agents in elderly people FEL monotherapy is more effective than EN monotherapy but a greater blood pressure lowering effect can be obtained with the combination of low doses of EN and felodipine this has the advantage that the number of SE is less
MS,modelling simulation,TS-241,"HLA is an IEEE software standard developed to provide a common technical architecture for distributed MS , trying to provide the structural basis for interoperability among simulators ."
FCN,fully convolutional neural network,TS-242,Stage II : Deep Multi - Task 3D FCN We use the trained deep multi - task 3D CNN to encode the short - range contextual information in a CT scan image .
SAN,self attention network,TS-243,"To demonstrate the different characteristics of the CNN and SAN path , we analyze the alignments ( attention coefficients ) from the four types of decoder - to - encoder attention ."
SB,symmetry breaking,TS-244,"Again , DE - SB and CMA - ES - SB are the fastest methods ."
MeCP2,methylcpgbinding protein,TS-245,rett syndrome a severe xlinked neurodevelopmental disorder caused by mutations in the gene encoding MeCP2 mecp is associated with a highly irregular respiratory DP including severe upperairway dysfunction recent work suggests that hyperexcitability of the heringbreuer reflex hbr pathway contributes to respiratory dysrhythmia in mecp mutant mice to assess how enhanced hbr input impacts respiratory entrainment by sensory afferents in closedloop in vivolike conditions we investigated the input vagal stimulus trains SO phrenic bursting entrainment via the hbr in wildtype and mecpdeficient mice using the in situ perfused BS preparation which maintains an intact pontomedullary axis capable of generating an in vivolike respiratory rhythm in the absence of the hbr we mimicked the hbr FB input by stimulating the VN at threshold current ms PP duration hz PP frequency ms train duration at an interburst frequency matching that of the intrinsic oscillation of the inspiratory motor SO of each preparation using this RPA we observed significant inputoutput entrainment in wildtype mice as measured by the maximum of the crosscorrelation CF the peak of the instantaneous relative phase CSD and the MI of the instantaneous phases this entrainment was associated with a reduction in TI during FB stimulation in contrast the strength of inputoutput entrainment was significantly weaker in mecp mice however mecp mice also had a reduced TI during stimulation indicating that reflex behavior in the hbr pathway was intact together these observations suggest that the respiratory network compensates for enhanced sensitivity of hbr inputs by reducing hbr inputoutput entrainment
VSM,vector space model,TS-246,Readers may refer to the prior studies for more details on VSM .
PSS,progressive systemic sclerosis,TS-247,this T0 was performed in patients with the following connective tissue diseases rheumatoid arthritis ra patients systemic lupus erythematosus sle and PSS scleroderma pss twenty normal persons served as controls all patients and controls were subjected to complete PH taking complete PCS examination and laboratory investigations including rheumatoid factor antidna le cell test antinuclear factor anf and ecg finger arterial blood pressure fabp readings using an mhz doppler flow detector with a mmdiameter cuff at a temperature of degrees c were made in all cases and controls the mean age of incidence in patients with ra was years in those with sle years in those with pss years and in the control group years women were predominant both in the diseases and the control CG the fabp was measured in all groups and the range of difference between the brachial and finger arterial blood pressure in each group was estimated in the control group the mean difference was mm hg in the ra group mm hg in the sle group mm hg and in the pss group mm hg there were no significant IP V1 changes in the small arteries in the ra group whereas in the sle and pss groups there was a significant difference which suggests different underlying microvascular changes the fabp appears to be a diagnostic tool in the diagnosis of pss and it helps in differentiation between various types of collagen disease in equivocal cases
GA,global arrays,TS-248,Algorithm alg : GA describes the RMSD algorithm with Global Arrays instead of MPI .
MT,machine translation,TS-249,"In Sections - , we evaluate the ASR , MT , and NLU model performance ."
AD,alzheimer 's disease,TS-250,The event orderings obtained on ADNI data seem plausible and are in agreement with the current understanding of progression of AD .
PA,power allocation,TS-251,"To the best of our knowledge , there is still no research investigation of PA in directional modulation networks ."
RNN,random neural networks,TS-252,The decision - making process conducted by the RNN determines a specific amount of redundancy needed by each frame .
CT,computed tomography,TS-253,A second loss is introduced minimising the difference between ground - truth CT and updated pCT .
HH,hypoxic hypoxia,TS-254,acute HH is reported to suppress both diet and coldinduced components of metabolism in the present experiment the effects of HH on the oxygen consumption and on Tc and brown adipose tissue temperature were studied in rats with lesion of the lateral hypothalamus the EEG slow potential changes and cortical extracellular potassium concentration were also recorded the results showed that acute HH blocked the thermogenesis induced by lateral hypothalamic lesion and the changes in temperatures were always preceded by modification of the cerebral cortex activity
HD,hausdorff distance,TS-255,Hausdorff Distance ( HD ) : HD measures the distance between the contourscorresponding to different segmentations .
CS,compressed sensing,TS-256,"It is well known that , in the CS context , the challenge is the identification of the signal support ; once this is done , the estimate of the non - zero components could be readily performed through the classical least squares estimation ( assumed the number of measurements is larger than the sparsity ) ."
SMT,statistical machine translation,TS-257,propose a system that combines a rule - based method and SMT system augmented by a language model .
VAT,virtual adversarial training,TS-258,"The "" VAT "" indicates that the model was trained with adversarial inputs ."
DR,dispersion reduction,TS-259,"Given a target feature map , DR applies Adam optimizer to iteratively perturb image along the direction of reducing standard deviation , and projects it to the vicinity of by clipping at ."
PD,parkinson 's disease,TS-260,"While the whole functions of the human brain regions are still unclear , it is quite intriguing that MemGCN can locate some of the modality - related ROIs , which might be critical for PD study ."
FEC,forward error correction,TS-261,"Fn MINT - FEC utilises the same core structure of uavFEC , so once all the fuzzy rules and sets are defined , they are employed in real - time in the fuzzy logic controller ."
CLS,constrained least squares,TS-262,"Figure .a explains Adams """" CLS formulation , where the desired filter response is only specified at the fixed pass and stop bands ."
RNN,recurrent neural network,TS-263,"RNN mostly works by using LSTM or GRU for text classification , as shown in Figure which contains input layer ( word embedding ) , hidden layers , and finally output layer ."
SBM,stochastic block model,TS-264,"EQvequationUnder this constraint , the probability density of the SCF model is proportional to whereand is the probability density as defined by the SBM ."
RNN,recurrent neural network,TS-265,The source estimator RNN takes in as input the set of patches in the red boxed zone while the co - estimator RNN takes in as input the set of patches in the blue boxed zone .
SFC,service function chaining,TS-266,"In SDN - based SFC , controllers are expected to provide high availability for the traffic flows ."
GP,gaussian process,TS-267,"To circumvent the problem that the likelihood is not conjugate to the GP prior , proposed a Metropolis - Hastings MCMC algorithm for this model ."
LP,linear programming,TS-268,The resulting odd - cycle inequality is violated by the current LP solution if and only if where is the set of edges of the subgraph induced by the odd cycle .
LES,lower esophageal sphincter,TS-269,ninetytwo nissen fundoplications were performed for relief of symptoms of reflux in patients without stricture and in whom the wrap was left in the abdomen of these were reoperations reflux secondary to a hypotensive lower esophageal sphincter was associated with a sliding esophageal hiatus hernia in patients and surgical or other manipulative maneuvers were responsible for a hypotensive lower esophageal sphincter in patients no obvious cause could be determined in the remaining patients the operation was transabdominal in patients and by thoracotomy in patients fifteen patients required ancillary operative procedures followup studies averaged years in patients and revealed permanent control of reflux in of them eighty percent of the patients were able to belch T3 T0 overall patient satisfaction was achieved in patients among those who underwent T0 for the first time achieved satisfactory results whereas only of those who underwent reoperation were benefited poorest results were caused by too tight a wrap a complication that became rare after the size of the indwelling stent was increased to f esophageal manometry documented ERP and significant augmentation of the amplitude and length of the LES from preoperative values of mm hg and cm to postoperative values of mm hg and cm p less than we conclude that if patients are properly selected and the wrap loosely fashioned permanent control of reflux can be achieved by the classic nissen fundoplication in of patients with relatively few complications and a high degree of patient satisfaction
MAP,maximum a posteriori,TS-270,Linear refinement search is designed before the final estimated result is obtained to further rectify the bounding box and lower the drifting risk of a single dominate particle caused by the MAP operation by sharing the risk with several most promising candidate patches .
OAT,organic anion transporter,TS-271,dubinjohnson syndrome djs is an inherited disorder characterized by conjugated hyperbilirubinemia and is caused by mutations of the cLPM multispecific OAT cmoat multidrug resistance protein mrp atpbinding cassette subfamily c member abcc gene the abcc protein is located in the apical membrane of hepatocytes and known mutations of this gene cause impaired maturation and trafficking of the ATM from the endoplasmic reticulum er to the GC we have characterized the abcc gene in a japanese djs patient by PCR reaction and dna sequencing resulting in the identification of two mutations one mutation ta in the splice donor site of intron has already been reported however we have identified a novel nonsense mutation consisting of a ct transition at nucleotide in exon
MLF,medial longitudinal fasciculus,TS-272,PE glycol peg mw vv is a nontoxic molecule that can be injected intravenously and possesses welldocumented neuroprotective properties in the spinal cord of the guinea pig recent studies have shown that intravenous peg can also enter the rat BB parenchyma T3 injury and repair cellular membrane damage in the region of the CC disrupted anterograde axonal transport and resulting betaamyloid F0 protein app accumulation are byproducts of traumatic axonal injury tai in the brain app accumulation indicates axonal degeneration as a result of axotomy a detriment that can lead to cell death in this T0 we show that peg treatment can eliminate app accumulation in TPS BB areas of rats receiving tai six Az of the brain were analyzed the medial SC hippocampus lateral cortex thalamus ML and medial longitudinal fasciculus increased app expression T3 injury was abolished in the thalamus and reduced in the MLF by peg treatment in all remaining Az except for the lateral SC app expression was not increased between injured and uninjured brains indicating that damage was undetected in those BB Az in this study
TCP,test case prioritization,TS-273,"As for the second building block of TCP methods , the strategy / algorithm can be thought as of a method to solve the optimization problem underlying coverage - based TCP ."
ASR,automatic speech recognition,TS-274,"Experiments on Arabic DialectsData SetThe 2018 ADI Shared Task data set contains audio recordings , ASR transcripts and phonetic transcripts of Arabic speech collected from the Broadcast News domain ."
CS,coordinated scheduling,TS-275,"The designs of CS for NOMA differ from those of JP in that the users """" data are not shared among the BSs ."
ANN,artificial neural network,TS-276,"The ANN model was trained using the Adam optimizer with an initial learning rate of 0.001 , in order to minimize a mean squared error between the predicted and the measured magnetic fields ."
MI,mutual information,TS-277,We refer to this network as MTL - MI - spec - attn .
VM,virtual machine,TS-278,Nonterminal calls are replaced with VM instructions that operate over independently - allocated VM stacks .
CA,context adaptation,TS-279,"For its part , the CA - CNN draws on the variety of sensors in the training set to learn a joint model of both background and foreground ; however , this joint model needs to be regularized by integrating long - term context into auxiliary features of relatively low dimensionality , which are , by design , invariant to rapid changes in environmental noise ."
PD,parkinson 's disease,TS-280,"We selected 46 persons with Parkinson ""s"" disease and labelled them as "" PD "" ."
AR,augmented reality,TS-281,"Columbia ""s"" Computer Graphics and User Interfaces Lab does an outdoor demonstration of their mobile AR restaurant guide at ISAR 2001 , running on their Touring Machine ( see Fig . ) ."
LD,line difference,TS-282,The LD for a given game is the magnitude of how far off the point spread was from the actual outcome of the game .
MER,maximum entropy regularizer,TS-283,"Note that the forgetting ( SDF10 , ) of EndToEnd is similar to , suggesting that the MER is not much beneficial for forgetting in this configuration ."
RUM,random utility maximization,TS-284,"With the same error distribution , we obtain a "" mixed "" RUM ."
DR,distal radius,TS-285,this T0 aimed a the determining bone mineral density bmd in the rd carpal bone and distal radius of foals age and months that had been subjected to different exercise regimens from birth until age months it was hypothesised that bmd would be greater in older animals and that differences in exercise regimens before age months would be associated with differences in bmd at both age and months epiphyseal bone tissue was available from and month old warmblood foals bred from sires known to have radiographic evidence of osteochondrosis oc the foals were in a CT which assessed the effect of exercise up to age months on osteochondrosis oc until age months foals were either box confined box confined and sprint trained daily or kept at pasture half the horses in each group were then confined together in a C1 stall with access to pasture for h daily from age to months bmd was assessed by dual xray absorptiometry in areas of interest aois of excised C3 c and in the DR volumetric bmd was determined in c only surface bmd was analysed in the radius across age groups exercise had an effect on bmd in the mediodorsal and mediopalmar areas of c in the monthold animals the training exercise had similar effect to constant pasture exercise in all aois bmd was significantly greater in month than in monthold animals between age groups there was a difference in effect of exercise regimen before months in mediodorsal c and medial aspect of the radius and the difference observed between exercise CG at age months was no longer present in horses age months indicating no residual effect of early exercise bmd was lower in the group with high oc scores in the group of horses with the most severe oc monthly growth rate did not fall uniformly with age over the first months as it did in CG with lower oc scores it was concluded that exercise influenced significantly bmd at months suggesting that carefully designed training programmes to increase bone mineral could be employed in young animals there was no residual effect at months
RNN,recurrent neural network,TS-286,"Finally , BRNN - POS - H2-OOV achieves the best performance , which shows that the integration of POS information in RNN models and dealing with OOV words are useful to build efficient multilingual super senses taggers ."
ART,adaptive radix tree,TS-287,"Since our aim is to obtain a completed ART index rather than a sorted column , we assemble a cracker index with an ART index and an auxiliary data structure for maintaining the information of column data organization ."
BN,batch normalization,TS-288,All BN groups in ( c ) are independent .
SALS,sporadic amyotrophic lateral sclerosis,TS-289,the vesicular monoamine transporter type vmat and TM protein b tmemb were reported to be associated with neurodegenerative diseases recent studies found that two polymorphisms rs and rs in vmat might be a risk factor for FPD pd in caucasians while the two other variants rs and rs in tmemb increased the risk for frontotemporal PSD ftd considering the overlap between clinical manifestation and pathologic characteristics in neurodegenerative diseases we conducted a largesample T0 to investigate the associations between these four polymorphisms and the risk for pd SALS sals and multiple system atrophy msa in a chinese patient population
RS,recommender systems,TS-290,We analyze the co - evolution of the interaction between users and a RS in its time domain .
MR,majority rule,TS-291,"In Toral2007 , the authors considered a MR model , and concluded that the behavior of their system resembles the movement of a Brownian particle in a potential field that is unknown a priori ."
AV,autonomous vehicle,TS-292,"Finally , referred objects at large distances from the AV might be difficult to recognize ."
SED,soft edit distance,TS-293,"In Section we propose recurrent formulas , which allow for the computation of SED and its derivatives at polynomial time similar to original edit distance ."
CP,completely positive,TS-294,Consider an -probabilistic CP * Category .
AIP,inhibitory peptide,TS-295,amylase inhibition has gastrointestinal and metabolic effects that may aid in the treatment of diabetes and obesity we tested whether g of a commercially available wheat amylase inhibitor wai affected PP carbohydrate cho absorption and plasma gl or hormones twelve persons four lean and four obese nondiabetics and four obese type ii diabetics were studied on separate days T3 eating a weight maintenance diet cho protein and fat as percentage of calories for days subjects ate a breakfast containing kcal the same proportion of nutrients as calories and in random order either wai or no wai breath h and PG and hormones were measured every and min respectively for h wai decreased the delta peak PPG concentrations in of subjects p and increased the breath h levels in p the increases in breath h were small generally ppm no subject experienced a NC in stools diarrhea or bloating in response to wai gastric AIP decreased p peptide yy increased p and there was a trend toward increased human pancreatic polypeptide p although wai delays cho absorption and reduces peak PP plasma glucose concentrations overall cho malabsorption is minimal as reflected by H2 and hormones and without symptoms it therefore may be useful in treating type ii diabetes mellitus
SO,smart object,TS-296,"Processor SO 1 : since FRDM is an hard - coded device with limited capabilities , we assumed that with each attribute in the synthetic dataset the same privacy preference is associated ( i.e. , every attribute has the same value ) ."
RV,random vaccination,TS-297,"On changing from 1 to 6 ( vaccinating 21600 nodes ) , there is a 1 K infections reduction in the average outbreak size for RV strategy ."
PS,prenatal stress,TS-298,this paper considers the transgenerational effects of PS of different etiology the impacts of AS factors on the PSA and morphofunctional parameters of life of the mother fetus and offspring in the first and subsequent generations ff are estimated particular attention is paid to assessing changes in the parameters of physical OD the state of the HPA proinflammatory status behavioral indicators cognitive performance and vegetative balance in the poststress period contemporary concepts of possible mechanisms of transgenerational transmission of the effects of prenatal stress are considered
CC,central cloud,TS-299,"The first reference case is when all the requested files are placed in EC , then all the baseband processing must be placed at the EC , and the connection from EC and CC is provided by backhaul ."
ACE,advanced combined encoder,TS-300,The basic block diagram of the feature extraction using ACE processing strategy is shown in Fig . .
RNN,random neural networks,TS-301,"figure!htb  center ./figure1_pAnts_gray.eps ./figure1_pAnts.eps center PredictiveAnts mechanism fig : pAnts : mechanismFECfigureThe real - time process consists of several modules , each one having very peculiar tasks , as follows : itemize Motion Intensity - The motion intensity characterization is performed by the RNN in real - time since it was already trained and validated in the offline process ; Feedback Receiver - The feedback mechanism is responsible for the retrieval of loss statistics ."
RF,random forest,TS-302,"For a comparison in terms of features used , we report results when using a """" flat """" multi - class model ( RF ) in subsec : Multi - class classification with 7 features and compare it with the hierarchical model ."
MDS,minimum dominating set,TS-303,Mehrabi gave an -net based -approximation algorithm for the MDS problem on one - string -VPG graphs ( graphs with -VPG representation where two curves intersect at most once ) .
BPE,byte pair encoding,TS-304,It would be interesting to repeat this comparison using much larger datasets and larger BPE vocabularies .
SAN,self attention network,TS-305,"Double Path Networks In our work , we introduce double path networks which incorporate CNN and SAN for sequence to sequence learning ."
RF,radio frequency,TS-306,"Machine - to - Machine ( M2 M ) Communications Relay Selection K - Cardinality Assignment Problem Hungarian Algorithm Matching Theory Static RF Interfaces Usage IntroductionToday , the emergence of new applications and new technologies for wireless networks has facilitated human life ."
ML,model logic,TS-307,"In case when the ML model is too complex , or when internal workings of the model are not accessible , a model - agnostic strategy is used ."
RS,rate saturation,TS-308,"In particular , and most importantly , not only FD outperforms HD , but also RS enables increasing the range of SI over which FD outperforms HD ."
PG,property graph,TS-309,"The instance mapping is defined as follows : For each There will be with There will be with There will be with For each There will be with There will be with There will be with For each satisfying that There will be with , and where correspond to respectively There will be with For each satisfying that There will be with , and where correspond to respectively There will be with According to the above definition , the instance mapping creates PG nodes from resource nodes and literal nodes , andPG edges from datatype properties and object properties ."
AS,antenna spacing,TS-310,"It is worth noting that since the BSs in FD - MIMO systems deploys a large scale antenna array within a limited space , the distance between antennas may be smaller than , and the AS and the ES will also accordingly decrease ."
ara-A,vidarabine,TS-311,the nucleotide changes of the dna polymerase gene and the susceptibility of acyclovir acvresistant varicellazoster virus vzv mutants to antiherpetic drugs were determined and compared to those of herpes simplex virus type hsv mutants the seven acvresistant vzv mutants were classified into three groups ns gc and vm according to the sequences of their dna polymerase genes the amino acid substitutions ns and gc were MZ in position to the ns and gc mutations in the hsv dna polymerase mutants respectively and the vm amino acid substitution was similar to the hsv vm mutation all three CG of vzv mutants were susceptible to acv phosphonoacetic acid ara-A and aphidicolin at C2 similar to those seen with the respective hsv mutants except for subtle differences that were due possibly to the nonconserved regions in their sequences although both the hsv and the vzv dna polymerase genes show CS similarity both viruses essentially show a similar PSA behaviour
SD,strategic dependency,TS-312,"Strategic Dependency ( SD ) Model is a graph , which describes set of nodes and links where each node represents an actor and each link between two actors indicates that one actor depends on the other for something in order that the former may attain some goal ."
TPN,total parenteral nutrition,TS-313,morphine augmentation in hepatobiliary scintigraphy has been reported as a useful tool to shorten imaging time the technique has not been extensively evaluated in patients who are severely ill and receiving TPN although the T0 of these patients with nonmorphineaugmented hepatobiliary scintigraphy is problematic the authors retrospectively analyzed morphineaugmented hepatobiliary studies performed in a tertiary referral center on a population with a high proportion of severe intercurrent illness patients of whom were receiving TPN and HCC dysfunction eight patients the overall sensitivity was specificity was and the falsepositive rate was for the diagnosis of AC the majority of the falsepositive cases occurred in the severely ill subgroup falsepositive rate morphineaugmented hepatobiliary studies may be advantageous because of shortened imaging time however patients who have severe intercurrent illness whether or not they are receiving TPN have a higher frequency of falsepositive morphineaugmented hepatobiliary studies and positive findings at scintigraphy in this patient group should be interpreted with caution
GPS,global positioning system,TS-314,The GPS technology allows the accurate positioning of an object using satellite signals .
TD,technical debt,TS-315,"However , they stated that "" the biggest issue with TD communication has been the gap between technical and non - technical stakeholders "" , which emphasizes the need for tools that help teams communicate about the state of a project ""s"" technical debt ."
CNN,convolutional neural network,TS-316,Each CNN in this model extracts features from a well - aligned human part using poselet .
SA,simulated annealing,TS-317,"We also found that simulated annealing ""s"" contributions in hybrid approaches increased in comparison to SA for graph G3 ."
IC,inferior colliculus,TS-318,intracranial angiolipomas are rare entities and are infrequently symptomatic these benign lesions are adherent to the surrounding neurovascular structures as they share the same blood supply which limits their resectability and impose a possibility of persistence of symptoms however due to recent advancements in the neuroradiological fields and microneurosurgical techniques it has been possible to localise precisely and excise these lesions with low morbidity and mortality the authors present an interesting rare case of intracranial angiolipoma of the RA IC situated in the quadrigeminal SP cistern the patient had presented with ipsilateral hearing loss and UL ataxia interesting clinical findings neuroimaging studies and peroperative features are presented and discussed along with a brief review of the literature
GI,group i,TS-319,GI introns in rrna genes are clustered in highly conserved regions that include trna and mrna IB sites this DP is consistent with insertion of group i introns by direct interaction with exposed regions of rrna integration of the tetrahymena GI intron or intervening sequence ivs into C1 subunit rrna via reverse splicing was investigated using e coli s rrna as a model substrate the results show that sequences homologous to the splice junction in tetrahymena are the preferred site of integration but that many other sequences in the s rrna provide secondary targets like the original splice junction many new reaction sites are in regions of SD secondary structure reaction at the NK splice junction is observed in s subunits and to a lesser extent in s ribosomes these results support the feasibility of intron transposition to new CS in rrna genes via reverse splicing
MAE,mean absolute error,TS-320,"It consists of the generators in CycleGAN and is only trained in a supervised manner with a MAE loss using the ground truth images , it does not include the adversarial or the cyclic loss ."
NE,nash equilibrium,TS-321,PoA is the worst - case ratio of the game cost under feedback NE to the optimum social cost as defined in ( ) .
ERK,extracellular signalregulated,TS-322,chemokines participate in cellular processes associated with tumor proliferation migration and angiogenesis we previously demonstrated that stromal cellderived factor sdf exerts a mitogenic activity in GBMs through the activation of its receptor cxcr here we studied the expression of this chemokine in human meningiomas and its possible role in cell proliferation reverse transcriptasepcr analysis for X4 and sdf was performed on human meningiomas who grade i who ii and who iii immunolabeling for cxcr and sdf was performed on paraffinembedded sections of these PT hthymidine uptake and western blot analyses were performed on primary meningeal cell cultures of tumors to evaluate the proliferative activity of human sdfalpha hsdfalpha in vitro and the involvement of ERK kinase erk activation in this process X4 mrna was expressed by of the RT specimens and sdf mrna by X4 and sdf were often detected in the same RT tissues and colocalized with EMA immunostaining in of primary cultures from meningiomas hsdfalpha induced significant cell proliferation that was strongly reduced by the mitogenactivatman nose poke or eye irritation we suggest that our probabilistic FR and methods be taken seriously because they produce GA conclusions that are more robust and could offer a riskmanagement framework for discussion of future establishment of limits for respiratory exposure to vocodor
FEC,forward error correction,TS-323,A distinct proposal to enhance video transmission over wireless local area networks are based on a method which adapts in real - time the amount of FEC redundancy and the transmission rate .
NP,neuropsychological,TS-324,to assess the role of drinking history depression CL CF nutrition and family PH on cognitive performance detoxified male alcoholics were administered a brief neuropsychological examination at admission and discharge from an inpatient treatment program and at a month followup evaluation regression analyses showed that at admission depression and liver function were significant predictors of NP performance whereas at discharge to weeks later only age and an estimate of premorbid IQ were significant predictors at the month followup estimates of drinking following discharge and severity of depressive symptoms were major significant predictors of neuropsychological performance indices of drinking prior to admission to the treatment program nutrition and family history for ALC did not predict performance on any of the three test occasions these findings indicate that in addition to the chronic neurotoxic effect of alcohol a number of different medical and psychiatric factors as well as the acute effects of alcohol contribute to the cognitive scores of patients at various points in the clinical course
CNL,controlled natural language,TS-325,"Related TermsBefore we move on to examine the types and properties of languages , we should discuss a number of terms that are related to CNL and are easy to confuse : sublanguage , fragments of language , style guide , phraseology , controlled vocabulary , and constructed language ."
PNP,pnitrophenol,TS-326,threedimensional silverpolyethyleneiminealginate hydrogel beads have been prepared successfully via a facile and simple onepot assembly method which can be used efficiently in catalytic hydrogenation reaction of PNP under batch and fixedbed experiment polyethyleneimine is used to reduce and limit the growth of nanosilver particle and alginate microsphere is used as the catalyst carrier leading to form well silver nanoparticles dispersion several characterizations were applied to the materials such as xray diffraction scanning electron microscopy transmission electron microscopy and xray photoelectron spectroscopy asprepared catalysts only spent s finishing reaction at AT silver load and SD catalytic performance with high conversion percentage for PNP about at k under fixedbed condition the relationship between concentration and time was well depicted by pseudofirst order kinetic MM the catalytic performance for recycled catalyst remained highly efficient and the conversion efficiency of can be maintained after cycles
ML,model logic,TS-327,"Here , local refers to the ability of tailoring the explanation to a single prediction taken by the ML model , as opposed to providing a global explanation of the whole model logic ."
EM,expectation maximization,TS-328,"Unlike in case of N - EM , these copies additionally learn to output the grouping , which gives Tagger more direct control over the segmentation and supports its use on complex texture segmentation tasks ."
RDF,resource description framework,TS-329,"Furthermore , 4Store in its default setting maintains a set of three full indices ( R , P , M ) harris20094store , where - the R - index is a hash - map index over RDF resources ( URIs , Literals , and Blank Nodes ) ; the P - index consists of a set of two radix trees per predicate , using a 4-bit radix ; the M - index is a hash - map based indexing scheme over RDF Graphs ( G ) ."
TDS,taint dependency sequences,TS-330,"The idea is to run the vulnerable program with initial inputs and then by using GA generate new inputs that not only traverse a given TDS but also cause the program to misbehave , for example causing crash ."
FL,federated learning,TS-331,Our benchmark results will guide future adoption of these cryptosystems in the selection of adequate SMCs for FL .
GA,genetic algorithm,TS-332,Proposed Bi - GAN aided GA network for refining deep neural network parameters .
RF,random forest,TS-333,* Normalised confusion matrix for multi - class classification with the RF classifier using the best hyper - parameters from a randomized grid search cross - validation .
OT,oblivious transfer,TS-334,receives from the OT the mask corresponding to its block which acts as its choice string .
ANN,artificial neural network,TS-335,"ANN AlgorithmIn summary , the number of hidden layers , the length of epoch and the learning rate define the ANN architecture ."
NF1,neurofibromin,TS-336,an internal domain from the human type NF1 has previously been expressed in escherichia coli as a fusion with GSH stransferase gst the expression level of this protein was lower than expected and so a gene was constructed using the CSD of codons found in highly expressed e coli proteins codons were assigned using a microsoft visual basic computer program to give a CSD similar to those found in genes which are highly expressed in e coli the optimized gene was then cloned back into the same gst F0 plasmid and it was found that the expression of soluble protein had increased threefold
Dex,dextranase,TS-337,a more sensitive test agar was developed to detect oral microbes with relatively low Dex activity and to identify dextranasenegative mutants several oral streptococci that had previously been scored as Dex negative readily decolorized the new blue dextrancontaining medium to assess whether dextranase plays a role in glucan synthesis by oral streptococci various glucan synthesisdefective mutants were tested for Dex activity on the new medium mutants and which do not cause smoothsurface caries and which synthesize more soluble glucan than their parent streptococcus mutans were markedly deficient in these dextranase activity tests
CS,compressive sensing,TS-338,"Experimental results on two applications : image inpainting and image CS recovery , have demonstrated that the proposed scheme is feasible and achieves performance improvements over the state - of - the - art methods both quantitatively and qualitatively ."
FN,focusing network,TS-339,"FAN TrainingWe combine a ResNet - based feature extractor , AN and FN into one network , as shown in Fig . ."
BEA,beauvericin,TS-340,beauvericin a cyclic hexadepsipeptide is a mycotoxin that can induce cell death in human lymphoblastic leukemia ccrfcem cells our previous data have shown that BEA induces cell death in ccrfcem cells in a dose and timedependent manner and that this beauvericininduced cell death can be prevented by administration of intracellular calcium chelatorbapta therefore the intracellular ca concentration cai may play an important role in beauvericininduced cell death in ccrfcem cells in this T0 the effect of BEA on cai and the possible mechanism responsible for the changes of cai in ccrfcem cells were investigated BEA caused a rapid and sustained cai rise in a dosedependent manner excess extracellular ca facilitated beauvericininduced cai rise by adding mm cacl in the bathing medium on the other hand beauvericininduced cai rise was prevented in cafree tyrodes solution by microm egta in addition beauvericininduced cai rise was also attenuated by intracellular ca chelatorbaptaam it is worthy to note that neither the voltagedependent ca channel blocker nimodipine nor SD of intracellular ca with thapsigargin an endoplasmic reticulum ca pump inhibitor has any effect on beauvericininduced cai rise the data from present study indicate that BEA acts as a potent ca mobilizer by stimulating extracellular ca influx ccrfcem cells
AV,acquaintance vaccination,TS-341,AV strategy improves the efficiency of the RV strategy .
PPMI,positive pointwise mutual information,TS-342,Number of the POS of words only included in the baseline or PPMI .
MC,marginal contribution,TS-343,This reduction is more significant for the MC - based game .
DIC,dynamic induction control,TS-344,The mean wake velocities are nonetheless not the most significant difference between DIC and the helix approach .
GCN,graph convolution networks,TS-345,"For each acquisition , we learn a feature matrix from each of its BCG through a GCN ."
FM,formal methods,TS-346,Even the math used in the YP can not be compared to well established FM .
