acronym_,expansion,id,text,fullyExpandedText
MSE,mean squared error,TS-41,The MSE of consists of variance and squared bias .,"The Mean Squared Error(['Average of the squares of the errors between estimated and actual values'], Mean Squared Error has the following properties: ['is an instance of measure of forecasting quality', 'is different from root-mean-square deviation']) of consists of variance and squared bias ."
CA,coordinate ascent,TS-42,"In Table , we compared SS with classical models implemented in RankLib ( LambdaMART , RankNet , RankBoost , AdaRank , ListNet , CA ) and rankSVM model for their ranking relevance .","In Table , we compared Speech Synthesis(ERROR while looking up semantic expansion) with classical models implemented in RankLib ( LambdaMART , RankNet , RankBoost , AdaRank , ListNet , Corresponding Arcs(No additional information found for Corresponding Arcs) ) and rankSVM model for their ranking relevance ."
NHP,nonhistone proteins,TS-43,histone deacetylases hdacs catalyze the deacetylation of lysine residues on histones and NHP hdacs have been shown to control the functions of key Tc proteins consistent with this the overexpression of hdacs has been observed in multiple cancers resulting in deregulation of the cell cycle and uncontrolled proliferation this review focuses on the impact that hdacs have on cell cycle control through the deacetylation of proteins,histone deacetylases hdacs catalyze the deacetylation of lysine residues on histones and Nottingham Health Profile([]) hdacs have been shown to control the functions of key Tc proteins consistent with this the overexpression of hdacs has been observed in multiple cancers resulting in deregulation of the cell cycle and uncontrolled proliferation this review focuses on the impact that hdacs have on cell cycle control through the deacetylation of proteins
FER,facial expression recognition,TS-44,MFP - CNN framework evaluations Evaluation of the baseline MFP - CNN on the CK+ : Several experiences are performed to assess the performances of the proposed MFP - CNN - based approach for FER as shown in Table .,Myofascial Pain(ERROR while looking up semantic expansion) - Convolutional Neural Network(ERROR while looking up semantic expansion) framework evaluations Evaluation of the baseline Myofascial Pain(ERROR while looking up semantic expansion) - Convolutional Neural Network(ERROR while looking up semantic expansion) on the CK+ : Several experiences are performed to assess the performances of the proposed Myofascial Pain(ERROR while looking up semantic expansion) - Convolutional Neural Network(ERROR while looking up semantic expansion) - based approach for Frame Error Rate(No additional information found for Frame Error Rate) as shown in Table .
MP,mean precision,TS-45,We note that the proposed approach provides the highest MP and the highest recall when all four aspects are considered during scoring rather than a single aspect such as content - relevance .,"We note that the proposed approach provides the highest Message Passing(['mechanism for interprocess communication'], Message Passing has the following properties: ['has use concurrent computing']) and the highest recall when all four aspects are considered during scoring rather than a single aspect such as content - relevance ."
EMA,exponential moving average,TS-46, h!IS and FID on CIFAR-10 ( the same setting of the first row of Table ) with various values for EMA ., h!IS and Free Induction Decay(ERROR while looking up semantic expansion) on NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) ( the same setting of the first row of Table ) with various values for Exponential Moving Average([]) .
FEC,forward error correction,TS-47,"The specific goals of this thesis are as follows :  Goal 1  - Define a method to provide video content characterization according to its motion intensity , as well as the video parameters ;  Goal 2  - Propose a set of adaptive FEC - based content- and video - aware mechanisms , which aim to support video distribution to wireless users over error - prone networks .","The specific goals of this thesis are as follows :  Goal 1  - Define a method to provide video content characterization according to its motion intensity , as well as the video parameters ;  Goal 2  - Propose a set of adaptive Forward Error Correction(ERROR while looking up semantic expansion) - based content- and video - aware mechanisms , which aim to support video distribution to wireless users over error - prone networks ."
CP,cor pulmonale,TS-48,parameters of hemorrheology such as whole BV plasma viscosity hematocrit and red blood cell electrophoretic time were measured in copd patients with or without CP and the pulmonary arterial pressure was simultaneously examined the results showed that the whole BV and hematocrit in CP group were obviously higher than copd group which suggested the changes of hemorrheology was much obvious in patients with CP than those in copd patients meanwhile a statistically significant correlation was obtained between whole blood viscosity and pulmonary arterial mean pressure thus we suggest blood viscosity has a certain effect on the pulmonary arterial pressure,parameters of hemorrheology such as whole Bacterial Vaginosis(ERROR while looking up semantic expansion) plasma viscosity hematocrit and red blood cell electrophoretic time were measured in copd patients with or without Constraint Programming(ERROR while looking up semantic expansion) and the pulmonary arterial pressure was simultaneously examined the results showed that the whole Bacterial Vaginosis(ERROR while looking up semantic expansion) and hematocrit in Constraint Programming(ERROR while looking up semantic expansion) group were obviously higher than copd group which suggested the changes of hemorrheology was much obvious in patients with Constraint Programming(ERROR while looking up semantic expansion) than those in copd patients meanwhile a statistically significant correlation was obtained between whole blood viscosity and pulmonary arterial mean pressure thus we suggest blood viscosity has a certain effect on the pulmonary arterial pressure
FEC,forward error correction,TS-49,"Once decided the FEC block sizes , it is necessary to configure the encoding FEC algorithm which will generate the redundant data .","Once decided the Forward Error Correction(ERROR while looking up semantic expansion) block sizes , it is necessary to configure the encoding Forward Error Correction(ERROR while looking up semantic expansion) algorithm which will generate the redundant data ."
MAC,medium access control,TS-50,Single Link MAC : This MAC allows only one single link transmission in one Tx frame .,Single Link Medium Access Control(ERROR while looking up semantic expansion) : This Medium Access Control(ERROR while looking up semantic expansion) allows only one single link transmission in one Tx frame .
GA,genetic algorithm,TS-51,shows the performance of the proposed GA and the mode selection scheme with different cache size .,shows the performance of the proposed Global Arrays(ERROR while looking up semantic expansion) and the mode selection scheme with different cache size .
CWE,character - enhanced word embedding,TS-52,"For CWE , we only show the results of position - based character embeddings here because the results of cluster - based character embeddings are worse in the experiments .","For Character - Enhanced Word Embedding(No additional information found for Character - Enhanced Word Embedding) , we only show the results of position - based character embeddings here because the results of cluster - based character embeddings are worse in the experiments ."
IE,information extraction,TS-53,Shared Tasks in these various sub - tasks of IE have significantly contributed to their progress and provides the fair evaluation of state of the art models .,"Shared Tasks in these various sub - tasks of Information Extraction(['automatically extracting structured information from un- or semi-structured machine-readable documents, such as human language texts']) have significantly contributed to their progress and provides the fair evaluation of state of the art models ."
MSC,multi - layer same - resolution compressed,TS-54,The last experiment makes an ablation study on MSC - trackers to show the effectiveness of the proposed CRM method .,The last experiment makes an ablation study on Multi - Layer Same - Resolution Compressed(No additional information found for Multi - Layer Same - Resolution Compressed) - trackers to show the effectiveness of the proposed Channel Reliability Measurement(No additional information found for Channel Reliability Measurement) method .
IB,information bottleneck,TS-55,"Furthermore , there is a trade - off between ( i ) how much the selected function resembles a linear function in our region of interest ; e.g. , with or close to zero , since it will suffer from similar problems as the original IB Lagrangian ; and ( ii ) how fast it grows in our region of interest ; e.g. , higher values of or , since it will suffer from value convergence ; i.e. , optimizing for separate values of will achieve similar levels of performance ( Figure ) .","Furthermore , there is a trade - off between ( i ) how much the selected function resembles a linear function in our region of interest ; e.g. , with or close to zero , since it will suffer from similar problems as the original Imaginary Batches(No additional information found for Imaginary Batches) Lagrangian ; and ( ii ) how fast it grows in our region of interest ; e.g. , higher values of or , since it will suffer from value convergence ; i.e. , optimizing for separate values of will achieve similar levels of performance ( Figure ) ."
SS,spectrum sensing,TS-56,"Thus we use SS case ( Spectrum Sensing ) or R case ( RADAR ) to refer to the case where utility is generated by detection of empty or busy entries ( also referred as resources ) , respectively .","Thus we use Speech Synthesis(['artificial production of human speech']) case ( Spectrum Sensing ) or R case ( NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) ) to refer to the case where utility is generated by detection of empty or busy entries ( also referred as resources ) , respectively ."
CNN,convolutional neural network,TS-57,Comparing the results in Table tab : transsslres with the performance of self - trained CNN in Table tab : sslres shows that using labeled data from other source hospitals along with the unlabeled data from the target hospital leads to further significant improvements ( indicated by in Table tab : transsslres ) .,"Comparing the results in Table tab : transsslres with the performance of self - trained Convolutional Neural Network(['A class of deep neural networks, most commonly applied to analyzing visual imagery.']) in Table tab : sslres shows that using labeled data from other source hospitals along with the unlabeled data from the target hospital leads to further significant improvements ( indicated by in Table tab : transsslres ) ."
DBN,deep belief network,TS-58,It is obvious that ECS - DBN consumes less average computational time than other competing methods .,"It is obvious that Elective Caesarean Section(['cesarean section that is scheduled'], Elective Caesarean Section has the following properties: ['is an instance of surgical operation']) - Deep Belief Network(['type of artificial neural network']) consumes less average computational time than other competing methods ."
CT,collecting tubule,TS-59,isolated kidneys of dahl SBH rats ds excrete sodium less readily than those of DSR rats dr the collecting tubule is an important source of papillary prostaglandin e and is a site of significant sodium reabsorption we cultured renal papillary collecting tubule cells from weekold prehypertensive ds and dr on a LS diet and also T3 weeks of high salt feeding and we measured prostaglandin e synthetic capacity unstimulated renal PTC CT cells from weekold ds produced less prostaglandin e than did comparable cells from dr p less than the cells from ds also synthesized less prostaglandin e after stimulation with the calcium ionophore a of control p less than or the addition of exogenous arachidonate of control p less than urinary prostaglandin e excretion was also diminished in the weekold ds compared with their saltresistant counterparts vs ng hr p less than after high salt feeding the ds became hypertensive but the dr remained normotensive renal PTC CT cells cultured from these ds continued to produce less prostaglandin e than those from control rats both in the basal state of control p less than and T3 stimulation with ionophore of control p less than in these older animals the ds continued to underexcrete prostaglandin e compared with the dr vs ng hr p less than the underproduction of prostaglandin e in the papillary CT of ds may play a role in their inadequate renal natriuretic capacity and contribute to the onset and maintenance of saltinduced hypertension in this CS,"isolated kidneys of dahl Saltsensitive(No additional information found for Saltsensitive) rats ds excrete sodium less readily than those of Dynamic Sparse Reparameterization(No additional information found for Dynamic Sparse Reparameterization) rats dr the collecting tubule is an important source of papillary prostaglandin e and is a site of significant sodium reabsorption we cultured renal papillary collecting tubule cells from weekold prehypertensive ds and dr on a Local Search(['method for problem solving in optimization']) diet and also Advanced(['difficulty level'], Advanced has the following properties: ['is an instance of degree of difficulty']) weeks of high salt feeding and we measured prostaglandin e synthetic capacity unstimulated renal Phase Transition Curve(No additional information found for Phase Transition Curve) Computed Tomography(['medical imaging procedure using X-rays to produce cross-sectional images'], Computed Tomography has the following properties: ['is an instance of medical test type']) cells from weekold ds produced less prostaglandin e than did comparable cells from dr p less than the cells from ds also synthesized less prostaglandin e after stimulation with the calcium ionophore a of control p less than or the addition of exogenous arachidonate of control p less than urinary prostaglandin e excretion was also diminished in the weekold ds compared with their saltresistant counterparts vs ng hr p less than after high salt feeding the ds became hypertensive but the dr remained normotensive renal Phase Transition Curve(No additional information found for Phase Transition Curve) Computed Tomography(['medical imaging procedure using X-rays to produce cross-sectional images'], Computed Tomography has the following properties: ['is an instance of medical test type']) cells cultured from these ds continued to produce less prostaglandin e than those from control rats both in the basal state of control p less than and Advanced(['difficulty level'], Advanced has the following properties: ['is an instance of degree of difficulty']) stimulation with ionophore of control p less than in these older animals the ds continued to underexcrete prostaglandin e compared with the dr vs ng hr p less than the underproduction of prostaglandin e in the papillary Computed Tomography(ERROR while looking up semantic expansion) of ds may play a role in their inadequate renal natriuretic capacity and contribute to the onset and maintenance of saltinduced hypertension in this Computer Systems(ERROR while looking up semantic expansion)"
POI,postoperative ileus,TS-60,retroperitoneoscopy has gained popularity because it offers a safe alternative to the more debilitating open approach and avoids POI however this type of procedure carries certain disadvantages in terms of intraperitoneal effusions and hemodynamic changes major complications are exceptional we describe the case of a yearold man who died of carbon dioxide embolism during elective TEP tep inguinal hernioplasty for symptomatic left indirect IH with the patient under GA anesthesia the retroperitoneal space was gained through a cm incision made below the umbilicus during the dissection the patient collapsed and could not be resuscitated at autopsy air bubbles were admixed with blood in the Epi veins but no injury to vessels was demonstrated we conclude that carbon dioxide embolism usually is caused by direct puncture of major vessels during IA procedures however when this complication occurs during retroperitoneoscopy it seems related to pressureforced entry of carbon dioxide into the venous plexus,retroperitoneoscopy has gained popularity because it offers a safe alternative to the more debilitating open approach and avoids Points Of Interest(ERROR while looking up semantic expansion) however this type of procedure carries certain disadvantages in terms of intraperitoneal effusions and hemodynamic changes major complications are exceptional we describe the case of a yearold man who died of carbon dioxide embolism during elective Extraperitoneal Approach(ERROR while looking up semantic expansion) tep inguinal hernioplasty for symptomatic left indirect Intimal Hyperplasia(ERROR while looking up semantic expansion) with the patient under Global Arrays(ERROR while looking up semantic expansion) anesthesia the retroperitoneal space was gained through a cm incision made below the umbilicus during the dissection the patient collapsed and could not be resuscitated at autopsy air bubbles were admixed with blood in the Epi veins but no injury to vessels was demonstrated we conclude that carbon dioxide embolism usually is caused by direct puncture of major vessels during Intent Analyst(No additional information found for Intent Analyst) procedures however when this complication occurs during retroperitoneoscopy it seems related to pressureforced entry of carbon dioxide into the venous plexus
SRC,sparse representation classification,TS-61,The experiment results of CRC and SRC are directly referenced from the experiment results reported in while the experiment results of LRC and RCR are obtained via running the codes by ourselves .,"The experiment results of Cyclic Redundancy Check(['type of hash function used to detect errors in data storage or transmission'], Cyclic Redundancy Check has the following properties: ['is an instance of hash function']) and Sdn Ran Controller(No additional information found for Sdn Ran Controller) are directly referenced from the experiment results reported in while the experiment results of Locoregional Control(['scientific article published on 01 August 2011'], Locoregional Control has the following properties: ['is an instance of scholarly article']) and NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) are obtained via running the codes by ourselves ."
RE,referring expression,TS-62,"Finally , we highlight that if we merge the top-10 gold - standard summaries , the REs reported by REMI yield averages of 0.53 , 0.62 , and 0.31 for the P , O , and PO precisions when using as prominence metric , i.e. , 62 of the RE ""s"" used object entitiesthat appear in the summaries .","Finally , we highlight that if we merge the top-10 gold - standard summaries , the Resource Elements(No additional information found for Resource Elements)s reported by NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) yield averages of 0.53 , 0.62 , and 0.31 for the P , O , and Phenoloxidase(['Protein found in Drosophila melanogaster'], Phenoloxidase has the following properties: ['is an instance of protein', 'is a part of Uncharacterised domain, di-copper centre']) precisions when using as prominence metric , i.e. , 62 of the RE ""s"" used object entitiesthat appear in the summaries ."
DADA,distributed affinity dual approximation,TS-63,"Both performance and data transfersof the policies introduced above : HEFT , DADA ( ) , DADA ( ) and DADA()+CP are studied .","Both performance and data transfersof the policies introduced above : NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , Distributed Affinity Dual Approximation(No additional information found for Distributed Affinity Dual Approximation) ( ) , Distributed Affinity Dual Approximation(No additional information found for Distributed Affinity Dual Approximation) ( ) and DADA()+CP are studied ."
ML,machine learning,TS-64,The general idea is to demonstrate that it should be possible to implement some if not most ML functions and models .,"The general idea is to demonstrate that it should be possible to implement some if not most Machine Learning(['scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions'], Machine Learning has the following properties: ['is an instance of specialization', 'is a part of artificial intelligence', 'is different from artificial intelligence']) functions and models ."
CS,charging station,TS-65,"This implies that two drivers with different priorities may have two different recommended CS ""s"" .","This implies that two drivers with different priorities may have two different recommended Computer Systems(['academic discipline'], Computer Systems has the following properties: ['is an instance of academic discipline']) ""s"" ."
QA,question answering,TS-66,generate a set of QA pairs given a KB entity .,"generate a set of Question Answering(['research area in computer science'], Question Answering has the following properties: ['is an instance of software feature', 'has use science']) pairs given a Knowledge Base(['information repository with multiple applications'], Knowledge Base has the following properties: ['is a part of expert system']) entity ."
S2,second heart sound,TS-67,bifurcation lesions remain a challenging lesion subset even in the era of drugeluting stents the aim of this study was to investigate the longitudinal remodeling DP and crosssectional PI location of bifurcation lesions seventyfour preintervention intravascular ultrasound studies of LAD bifurcation lesions were analyzed in which the lesion was located PT type a n or distal type b n to the side branch vessel area and PA at the lesion valesion and palesios report describes two female patients aged years and years who had no cyanotic disease the first patient was admitted to the hospital T3 the first stroke but suffered a second one after admission her initial cardiac examination was normal the other patient was admitted T3 a second rightsided hemiparesis a mild pansystolic ejection murmur was observed at the lower left sternal border on auscultation slight late diastolic murmurs with opening snap were found in the mitral valve area and the S2 was increased transthoracic echocardiography revealed a mass in the anterior mitral valve in both patients these masses were CR removed surgically and pathology revealed myxomas hemiparesis CR resolved T3 surgical and medical treatment the clinical manifestations of cardiac tumors primarily depend on their number size location and histology strokes and anterior mitral valve masses are extremely rare in children in the two cases reported here anterior mitral valve myxomas caused systemic embolization as a result of their location echocardiography should be performed early in patients presenting with recurrent strokes to exclude such pathology,"bifurcation lesions remain a challenging lesion subset even in the era of drugeluting stents the aim of this study was to investigate the longitudinal remodeling Dynamic Programming(ERROR while looking up semantic expansion) and crosssectional Prediction Intervals(ERROR while looking up semantic expansion) location of bifurcation lesions seventyfour preintervention intravascular ultrasound studies of Left Anterior Descending(ERROR while looking up semantic expansion) bifurcation lesions were analyzed in which the lesion was located Piecewise -Testable(No additional information found for Piecewise -Testable) type a n or distal type b n to the side branch vessel area and Provider Aggregatable(['block of IP addresses suitable for route aggregation']) at the lesion valesion and palesios report describes two female patients aged years and years who had no cyanotic disease the first patient was admitted to the hospital Advanced(ERROR while looking up semantic expansion) the first stroke but suffered a second one after admission her initial cardiac examination was normal the other patient was admitted Advanced(['difficulty level'], Advanced has the following properties: ['is an instance of degree of difficulty']) a second rightsided hemiparesis a mild pansystolic ejection murmur was observed at the lower left sternal border on auscultation slight late diastolic murmurs with opening snap were found in the mitral valve area and the Second Heart Sound(ERROR while looking up semantic expansion) was increased transthoracic echocardiography revealed a mass in the anterior mitral valve in both patients these masses were Collision Resistant(ERROR while looking up semantic expansion) removed surgically and pathology revealed myxomas hemiparesis Collision Resistant(ERROR while looking up semantic expansion) resolved Advanced(['difficulty level'], Advanced has the following properties: ['is an instance of degree of difficulty']) surgical and medical treatment the clinical manifestations of cardiac tumors primarily depend on their number size location and histology strokes and anterior mitral valve masses are extremely rare in children in the two cases reported here anterior mitral valve myxomas caused systemic embolization as a result of their location echocardiography should be performed early in patients presenting with recurrent strokes to exclude such pathology"
VS,ventricular septum,TS-68,the cardiac CS consists of distinctive heart muscle cells that initiate and propagate the electric impulse required for coordinated contraction the CS expresses the transcriptional repressor tbx which is required for vertebrate development and controls the formation of the SN in humans mutations in tbx cause ulnarmammary syndrome here we investigated the role of tbx in the molecular specification of the atrioventricular conduction system expression analysis revealed early delineation of the atrioventricular bundle and proximal bundle branches by tbx expression in human mouse and chicken tbxdeficient mice which die between embryonic day and ectopically expressed genes for connexin cx atrial natriuretic factor nppa tbx and tbx in the atrioventricular bundle and proximal bundle branches cx was precociously upregulated in the atrioventricular bundle of tbx mutants moreover the atrioventricular bundle and branches failed to exit the Tc in tbx mutant embryos finally tbxdeficient embryos developed outflow tract malformations and ventricular septal defects these data reveal that tbx is required for the molecular specification of the atrioventricular bundle and bundle branches and for the development of the VS and outflow tract our data suggest a mechanism in which tbx represses differentiation into ventricular working myocardium thereby imposing the conduction system phenotype on cells within its expression domain,the cardiac Computer Systems(ERROR while looking up semantic expansion) consists of distinctive heart muscle cells that initiate and propagate the electric impulse required for coordinated contraction the Conduction System(ERROR while looking up semantic expansion) expresses the transcriptional repressor tbx which is required for vertebrate development and controls the formation of the Secondary Node(ERROR while looking up semantic expansion) in humans mutations in tbx cause ulnarmammary syndrome here we investigated the role of tbx in the molecular specification of the atrioventricular conduction system expression analysis revealed early delineation of the atrioventricular bundle and proximal bundle branches by tbx expression in human mouse and chicken tbxdeficient mice which die between embryonic day and ectopically expressed genes for connexin cx atrial natriuretic factor nppa tbx and tbx in the atrioventricular bundle and proximal bundle branches cx was precociously upregulated in the atrioventricular bundle of tbx mutants moreover the atrioventricular bundle and branches failed to exit the Tc in tbx mutant embryos finally tbxdeficient embryos developed outflow tract malformations and ventricular septal defects these data reveal that tbx is required for the molecular specification of the atrioventricular bundle and bundle branches and for the development of the Viridans Streptococci(ERROR while looking up semantic expansion) and outflow tract our data suggest a mechanism in which tbx represses differentiation into ventricular working myocardium thereby imposing the conduction system phenotype on cells within its expression domain
ICM,ischemic cardiomyopathy,TS-69,fibroblast growth factor advfgf improves regional function by stimulating myocyte hypertrophy without increasing MP in swine with hibernating myocardium we performed the present study to determine whether advfgf could prevent the progression of lv dysfunction in swine with ICM,fibroblast growth factor advfgf improves regional function by stimulating myocyte hypertrophy without increasing Message Passing(ERROR while looking up semantic expansion) in swine with hibernating myocardium we performed the present study to determine whether advfgf could prevent the progression of lv dysfunction in swine with Ischemic(ERROR while looking up semantic expansion)
GS,google scholar 's,TS-70,"To quantify the performance of different systems , we compared three recommendation systems and GS * - a simulating system that imitates Google Scholar ""s"" ranking function - in terms of Precision - at- .","To quantify the performance of different systems , we compared three recommendation systems and Gold Standard(ERROR while looking up semantic expansion) * - a simulating system that imitates Google Scholar ""s"" ranking function - in terms of Precision - at- ."
CKA,centered kernel alignment,TS-71,"Thus RV2 provides a similarity metric with the same invariance properties as CKA while being less sensitive to dataset size , making it a good candidate for comparing neural activities of large artificial and biological neural networks .","Thus NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) provides a similarity metric with the same invariance properties as Concurrent Kleene Algebra(['scholarly article by Tobias Kappé et al published 2018 in Lecture Notes in Computer Science'], Concurrent Kleene Algebra has the following properties: ['is an instance of scholarly article']) while being less sensitive to dataset size , making it a good candidate for comparing neural activities of large artificial and biological neural networks ."
MP,most popular,TS-72,"Interestingly , both MP and CF provide a perfect score for P@1 of 1.000 , which indicates that both algorithms rank a highly - connected dataset on the first position that is relevant for all 2,338 evaluated services .","Interestingly , both Message Passing(ERROR while looking up semantic expansion) and Collaborative Filtering(ERROR while looking up semantic expansion) provide a perfect score for P@1 of 1.000 , which indicates that both algorithms rank a highly - connected dataset on the first position that is relevant for all 2,338 evaluated services ."
SP,strictly piecewise,TS-73,The Strictly Piecewise ( SP ) class was studied by .,The Strictly Piecewise ( Strictly Piecewise(No additional information found for Strictly Piecewise) ) class was studied by .
EM,expectation maximization,TS-74,"These results confirm our earlier observations from synthetic and CD patient datasets about : 1 ) the superior performance of ; 2 ) effectiveness of SSL in predicting missing annotation information ; 3 ) inferior performance of LMStaple due to predicting sensitivity and specificity parameters from annotations without considering their overall consistency , and using EM ; and 4 ) contribution of our SC score and graph cuts in obtaining better consensus annotations .","These results confirm our earlier observations from synthetic and Cosine Distance(No additional information found for Cosine Distance) patient datasets about : 1 ) the superior performance of ; 2 ) effectiveness of Structural Sparsity Learning(No additional information found for Structural Sparsity Learning) in predicting missing annotation information ; 3 ) inferior performance of LMStaple due to predicting sensitivity and specificity parameters from annotations without considering their overall consistency , and using Expectation Maximization(['iterative method for finding maximum likelihood estimates in statistical models'], Expectation Maximization has the following properties: ['is an instance of data clustering algorithm']) ; and 4 ) contribution of our Sleep Cassette(No additional information found for Sleep Cassette) score and graph cuts in obtaining better consensus annotations ."
PBRT,physically based ray tracing,TS-75,"The surface rendering ( PBRT ) is based on ray tracing algorithms , with an accurate simulation of physics of light and its interaction with many types of surfaces including metals , diffuse reflectors , retro - reflective materials , and glass .","The surface rendering ( Physically Based Ray Tracing(No additional information found for Physically Based Ray Tracing) ) is based on ray tracing algorithms , with an accurate simulation of physics of light and its interaction with many types of surfaces including metals , diffuse reflectors , retro - reflective materials , and glass ."
RV,retroviral vector,TS-76,upon retroviral infection the genomic rna is reverse transcribed to make proviral dna which is then integrated into the host chromosome although the viral elements required for successful integration have been extensively characterized little is known about the host dna structure constituting preferred targets for proviral integration in order to elucidate the mechanism for the target selection comparison of host dna sequences at proviral integration CS may be useful to achieve simultaneous analysis of the upstream and downstream host dna sequences flanking each proviral integration site a moloney L1210 virusbased RV was designed so that its integrated provirus could be removed by creloxp HR leaving a solo long terminal repeat ltr taking advantage of the solo ltr inverse pcr was carried out to amplify both the UP and downstream cellular flanking dna the method called solo ltr inverse pcr or slip proved useful for simultaneously cloning the upstream and downstream flanking sequences of individual proviral integration sites from the polyclonal population of cells harboring provirus at different chromosomal sites by the slip method nucleotide sequences corresponding to independent proviral integration targets were determined and interestingly atypical virushost dna junction structures were found in more than of the cases characterization of retroviral integration CS using the slip method may provide useful insights into the mechanism for proviral integration and its target selection,"upon retroviral infection the genomic rna is reverse transcribed to make proviral dna which is then integrated into the host chromosome although the viral elements required for successful integration have been extensively characterized little is known about the host dna structure constituting preferred targets for proviral integration in order to elucidate the mechanism for the target selection comparison of host dna sequences at proviral integration Computer Systems(['academic discipline'], Computer Systems has the following properties: ['is an instance of academic discipline']) may be useful to achieve simultaneous analysis of the upstream and downstream host dna sequences flanking each proviral integration site a moloney Murine Leukemia(['species of virus'], Murine Leukemia has the following properties: ['is an instance of taxon']) virusbased Random Vaccination(No additional information found for Random Vaccination) was designed so that its integrated provirus could be removed by creloxp High - Resolution(No additional information found for High - Resolution) leaving a solo long terminal repeat ltr taking advantage of the solo ltr inverse pcr was carried out to amplify both the Upstream(['the direction opposite the flow in a river or other body of running water'], Upstream has the following properties: ['is different from upper course']) and downstream cellular flanking dna the method called solo ltr inverse pcr or slip proved useful for simultaneously cloning the upstream and downstream flanking sequences of individual proviral integration sites from the polyclonal population of cells harboring provirus at different chromosomal sites by the slip method nucleotide sequences corresponding to independent proviral integration targets were determined and interestingly atypical virushost dna junction structures were found in more than of the cases characterization of retroviral integration Computer Systems(['academic discipline'], Computer Systems has the following properties: ['is an instance of academic discipline']) using the slip method may provide useful insights into the mechanism for proviral integration and its target selection"
SD,soft decision,TS-77,"Researchers usually employ simple suboptimal AND , OR or MAJORITY counting rules for global detection  910. Others try to calculate the optimim local and global thresholds but mainly using exhaustive numerical methods  1112. In  4  , the performance of the SD combining scheme with NP test was compared with an OR - rule based HD combining scheme , which is not necessarily optimal .","Researchers usually employ simple suboptimal NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , Optic Radiation(['neural pathway in the visual system'], Optic Radiation has the following properties: ['is an instance of class of anatomical entity']) or NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) counting rules for global detection  910. Others try to calculate the optimim local and global thresholds but mainly using exhaustive numerical methods  1112. In  4  , the performance of the Strong Dominance(['scientific article'], Strong Dominance has the following properties: ['is an instance of scholarly article']) combining scheme with Noun Phrase(['phrase type without a verb'], Noun Phrase has the following properties: ['is different from nominal phrase']) test was compared with an Optic Radiation(['neural pathway in the visual system'], Optic Radiation has the following properties: ['is an instance of class of anatomical entity']) - rule based Hausdorff Distance(ERROR while looking up semantic expansion) combining scheme , which is not necessarily optimal ."
MGM,markov geographic model,TS-78,"ConclusionsIn this paper , we proposed a novel method , DDE - MGM , to model and classify time series in an online manner , where common but unrealistic assumptions like the same data length and well alignment are completely removed , facilitating the deployment of the method to real - world problem solving .","ConclusionsIn this paper , we proposed a novel method , Ethylene(ERROR while looking up semantic expansion) - Markov Geographic Model(No additional information found for Markov Geographic Model) , to model and classify time series in an online manner , where common but unrealistic assumptions like the same data length and well alignment are completely removed , facilitating the deployment of the method to real - world problem solving ."
BAM,bandwidth allocation model,TS-79,"As such , contribution of the PSIoT - SDN framework will be to integrate a QoS approach on network edge with a network bandwidth sharing strategy based on BAM models that is SDN - controlled .","As such , contribution of the PSIoT - NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) framework will be to integrate a QoS approach on network edge with a network bandwidth sharing strategy based on Behance Artistic Media(No additional information found for Behance Artistic Media) models that is NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) - controlled ."
